"Step","afl_3_schedule_all - lambdas.0","afl_3_schedule_all - lambdas.0__MIN","afl_3_schedule_all - lambdas.0__MAX","afl_2_schedule_all - lambdas.0","afl_2_schedule_all - lambdas.0__MIN","afl_2_schedule_all - lambdas.0__MAX","afl_1_schedule_all - lambdas.0","afl_1_schedule_all - lambdas.0__MIN","afl_1_schedule_all - lambdas.0__MAX"
"1","0.09863881066574706","0.09863881066574706","0.09863881066574706","0.09943883315146644","0.09943883315146644","0.09943883315146644","0.09881680700510727","0.09881680700510727","0.09881680700510727"
"2","0.097445423269926","0.097445423269926","0.097445423269926","0.09884578419945496","0.09884578419945496","0.09884578419945496","0.09779514064028964","0.09779514064028964","0.09779514064028964"
"3","0.09637085143680493","0.09637085143680493","0.09637085143680493","0.09819194962949719","0.09819194962949719","0.09819194962949719","0.09694458837462994","0.09694458837462994","0.09694458837462994"
"4","0.09545507682645611","0.09545507682645611","0.09545507682645611","0.09751708550753183","0.09751708550753183","0.09751708550753183","0.09621298321140596","0.09621298321140596","0.09621298321140596"
"5","0.09469115578399101","0.09469115578399101","0.09469115578399101","0.09687606634860843","0.09687606634860843","0.09687606634860843","0.0955334167676021","0.0955334167676021","0.0955334167676021"
"6","0.0940232624513126","0.0940232624513126","0.0940232624513126","0.09628607360296093","0.09628607360296093","0.09628607360296093","0.09486619841139797","0.09486619841139797","0.09486619841139797"
"7","0.09340312558893714","0.09340312558893714","0.09340312558893714","0.09573012268960224","0.09573012268960224","0.09573012268960224","0.09420361673484302","0.09420361673484302","0.09420361673484302"
"8","0.09280274314038947","0.09280274314038947","0.09280274314038947","0.09518860718820639","0.09518860718820639","0.09518860718820639","0.09354594429505632","0.09354594429505632","0.09354594429505632"
"9","0.09220897889276038","0.09220897889276038","0.09220897889276038","0.09465049107734522","0.09465049107734522","0.09465049107734522","0.09289715082558025","0.09289715082558025","0.09289715082558025"
"10","0.09161876238013165","0.09161876238013165","0.09161876238013165","0.09411252586489038","0.09411252586489038","0.09411252586489038","0.09226192103470292","0.09226192103470292","0.09226192103470292"
"11","0.09103342823506426","0.09103342823506426","0.09103342823506426","0.09357490209475725","0.09357490209475725","0.09357490209475725","0.09164398995826183","0.09164398995826183","0.09164398995826183"
"12","0.0904554309165181","0.0904554309165181","0.0904554309165181","0.09304008514759714","0.09304008514759714","0.09304008514759714","0.09104589024672069","0.09104589024672069","0.09104589024672069"
