"Step","fedadagrad_5_compare - train_accuracy","fedadagrad_5_compare - train_accuracy__MIN","fedadagrad_5_compare - train_accuracy__MAX","fedadagrad_4_compare - train_accuracy","fedadagrad_4_compare - train_accuracy__MIN","fedadagrad_4_compare - train_accuracy__MAX","fedadagrad_3_compare - train_accuracy","fedadagrad_3_compare - train_accuracy__MIN","fedadagrad_3_compare - train_accuracy__MAX","fedavg_5_compare - train_accuracy","fedavg_5_compare - train_accuracy__MIN","fedavg_5_compare - train_accuracy__MAX","fedadagrad_2_compare - train_accuracy","fedadagrad_2_compare - train_accuracy__MIN","fedadagrad_2_compare - train_accuracy__MAX","fedadam_5_compare - train_accuracy","fedadam_5_compare - train_accuracy__MIN","fedadam_5_compare - train_accuracy__MAX","fedadagrad_1_compare - train_accuracy","fedadagrad_1_compare - train_accuracy__MIN","fedadagrad_1_compare - train_accuracy__MAX","fedadam_4_compare - train_accuracy","fedadam_4_compare - train_accuracy__MIN","fedadam_4_compare - train_accuracy__MAX","fedadam_3_compare - train_accuracy","fedadam_3_compare - train_accuracy__MIN","fedadam_3_compare - train_accuracy__MAX","afl_5_compare - train_accuracy","afl_5_compare - train_accuracy__MIN","afl_5_compare - train_accuracy__MAX"
"11","0.0002734232592052497","0.0002734232592052497","0.0002734232592052497","0.15465605119238066","0.15465605119238066","0.15465605119238066","0.5194202349374764","0.5194202349374764","0.5194202349374764","0.8299307327743347","0.8299307327743347","0.8299307327743347","0.2827246067715276","0.2827246067715276","0.2827246067715276","0.9568902661319723","0.9568902661319723","0.9568902661319723","0.42442408152778965","0.42442408152778965","0.42442408152778965","0.9625730123888537","0.9625730123888537","0.9625730123888537","0.9495389667803461","0.9495389667803461","0.9495389667803461","0.7680231033895212","0.7680231033895212","0.7680231033895212"
"12","0.3068249741889909","0.3068249741889909","0.3068249741889909","0.3095034808879548","0.3095034808879548","0.3095034808879548","0.7481005445105736","0.7481005445105736","0.7481005445105736","0.8919469651687225","0.8919469651687225","0.8919469651687225","0.2818417452660379","0.2818417452660379","0.2818417452660379","0.9598706732597946","0.9598706732597946","0.9598706732597946","0.21019206343096877","0.21019206343096877","0.21019206343096877","0.975995008538027","0.975995008538027","0.975995008538027","0.9620742053944535","0.9620742053944535","0.9620742053944535","0.8775839604584954","0.8775839604584954","0.8775839604584954"
"13","0.14361031518624642","0.14361031518624642","0.14361031518624642","0.006438631790744467","0.006438631790744467","0.006438631790744467","0.746366015703644","0.746366015703644","0.746366015703644","0.868233046800382","0.868233046800382","0.868233046800382","0.48424148483764556","0.48424148483764556","0.48424148483764556","0.9534670487106017","0.9534670487106017","0.9534670487106017","0.20835076562630742","0.20835076562630742","0.20835076562630742","0.9622305260132222","0.9622305260132222","0.9622305260132222","","","","0.7269423612170888","0.7269423612170888","0.7269423612170888"
"14","0.003259452411994785","0.003259452411994785","0.003259452411994785","0.2966535742340927","0.2966535742340927","0.2966535742340927","0.5484183232497839","0.5484183232497839","0.5484183232497839","0.7935680139069969","0.7935680139069969","0.7935680139069969","0.3105612287027607","0.3105612287027607","0.3105612287027607","0.9408952629291613","0.9408952629291613","0.9408952629291613","0.002604731929672238","0.002604731929672238","0.002604731929672238","0.9697093479968578","0.9697093479968578","0.9697093479968578","0.9665687121866897","0.9665687121866897","0.9665687121866897","0.856548081276332","0.856548081276332","0.856548081276332"
"15","0.15470789741690585","0.15470789741690585","0.15470789741690585","0.5617054751415985","0.5617054751415985","0.5617054751415985","0.042534243670751884","0.042534243670751884","0.042534243670751884","0.9037126192019257","0.9037126192019257","0.9037126192019257","0.17668983580134986","0.17668983580134986","0.17668983580134986","0.9484769928710305","0.9484769928710305","0.9484769928710305","0.39805869485964274","0.39805869485964274","0.39805869485964274","0.9705789804908748","0.9705789804908748","0.9705789804908748","0.9551333700860862","0.9551333700860862","0.9551333700860862","0.826570444505629","0.826570444505629","0.826570444505629"
"16","0.594356323466931","0.594356323466931","0.594356323466931","0.16728011866175904","0.16728011866175904","0.16728011866175904","0.32956784447655324","0.32956784447655324","0.32956784447655324","0.9071661237785016","0.9071661237785016","0.9071661237785016","0.3236114861823747","0.3236114861823747","0.3236114861823747","0.9630718028607846","0.9630718028607846","0.9630718028607846","0.4276614380125806","0.4276614380125806","0.4276614380125806","0.9631379442948964","0.9631379442948964","0.9631379442948964","0.97244844345199","0.97244844345199","0.97244844345199","0.9244850605545861","0.9244850605545861","0.9244850605545861"
"17","0.5231265196841789","0.5231265196841789","0.5231265196841789","0.43595848368736284","0.43595848368736284","0.43595848368736284","0.37837661702890285","0.37837661702890285","0.37837661702890285","0.8876321612982543","0.8876321612982543","0.8876321612982543","0.4682340738179618","0.4682340738179618","0.4682340738179618","0.9718602300357894","0.9718602300357894","0.9718602300357894","0.3806205473585861","0.3806205473585861","0.3806205473585861","0.9752613370038317","0.9752613370038317","0.9752613370038317","","","","0.8664297822372355","0.8664297822372355","0.8664297822372355"
"18","0.34961106309420914","0.34961106309420914","0.34961106309420914","0.5258894872990967","0.5258894872990967","0.5258894872990967","0.6225257152735759","0.6225257152735759","0.6225257152735759","0.9056982343499197","0.9056982343499197","0.9056982343499197","0.595857088559483","0.595857088559483","0.595857088559483","0.9799975305593284","0.9799975305593284","0.9799975305593284","0.29556051657388305","0.29556051657388305","0.29556051657388305","0.9650990203977778","0.9650990203977778","0.9650990203977778","0.9719076843288097","0.9719076843288097","0.9719076843288097","0.8800344504954973","0.8800344504954973","0.8800344504954973"
"19","0.5580198779201687","0.5580198779201687","0.5580198779201687","0.42713074520303435","0.42713074520303435","0.42713074520303435","0.6423940149625935","0.6423940149625935","0.6423940149625935","0.8955929820076061","0.8955929820076061","0.8955929820076061","0.4879183032207384","0.4879183032207384","0.4879183032207384","0.9712057780192388","0.9712057780192388","0.9712057780192388","0.43880048959608325","0.43880048959608325","0.43880048959608325","0.9636769299419902","0.9636769299419902","0.9636769299419902","0.9720033250207814","0.9720033250207814","0.9720033250207814","0.8921984820939037","0.8921984820939037","0.8921984820939037"
"20","0.3979070259807035","0.3979070259807035","0.3979070259807035","0.04076288354167696","0.04076288354167696","0.04076288354167696","0.22878135292627313","0.22878135292627313","0.22878135292627313","0.9325227595801954","0.9325227595801954","0.9325227595801954","0.059093638515064814","0.059093638515064814","0.059093638515064814","0.9731119378156852","0.9731119378156852","0.9731119378156852","0.3057871016631436","0.3057871016631436","0.3057871016631436","0.9670932358318098","0.9670932358318098","0.9670932358318098","0.9732567632238268","0.9732567632238268","0.9732567632238268","0.9138899145190192","0.9138899145190192","0.9138899145190192"
