"Step","afl_3_schedule_all - lambdas.7","afl_3_schedule_all - lambdas.7__MIN","afl_3_schedule_all - lambdas.7__MAX","afl_2_schedule_all - lambdas.7","afl_2_schedule_all - lambdas.7__MIN","afl_2_schedule_all - lambdas.7__MAX","afl_1_schedule_all - lambdas.7","afl_1_schedule_all - lambdas.7__MIN","afl_1_schedule_all - lambdas.7__MAX"
"1","0.09930367667878676","0.09930367667878676","0.09930367667878676","0.09971039035534468","0.09971039035534468","0.09971039035534468","0.09893552331682265","0.09893552331682265","0.09893552331682265"
"2","0.0985674077180281","0.0985674077180281","0.0985674077180281","0.09936899834129297","0.09936899834129297","0.09936899834129297","0.09800823799521287","0.09800823799521287","0.09800823799521287"
"3","0.09774801886292803","0.09774801886292803","0.09774801886292803","0.0989332339548833","0.0989332339548833","0.0989332339548833","0.0971609921278389","0.0971609921278389","0.0971609921278389"
"4","0.09690430925465307","0.09690430925465307","0.09690430925465307","0.09841724340985321","0.09841724340985321","0.09841724340985321","0.09641581552828361","0.09641581552828361","0.09641581552828361"
"5","0.09611750606905207","0.09611750606905207","0.09611750606905207","0.09786506249902502","0.09786506249902502","0.09786506249902502","0.09577284381823044","0.09577284381823044","0.09577284381823044"
"6","0.09541854498251631","0.09541854498251631","0.09541854498251631","0.09731600434363362","0.09731600434363362","0.09731600434363362","0.0952163027589388","0.0952163027589388","0.0952163027589388"
"7","0.09480312150963399","0.09480312150963399","0.09480312150963399","0.0967919216934191","0.0967919216934191","0.0967919216934191","0.09473038270173237","0.09473038270173237","0.09473038270173237"
"8","0.0942582318318248","0.0942582318318248","0.0942582318318248","0.09630068849007084","0.09630068849007084","0.09630068849007084","0.09430272017147111","0.09430272017147111","0.09430272017147111"
"9","0.09377122379534159","0.09377122379534159","0.09377122379534159","0.09584439355538245","0.09584439355538245","0.09584439355538245","0.09392399690089445","0.09392399690089445","0.09392399690089445"
"10","0.09333214641670327","0.09333214641670327","0.09333214641670327","0.09542246221165256","0.09542246221165256","0.09542246221165256","0.09358732484096989","0.09358732484096989","0.09358732484096989"
"11","0.09293346932294835","0.09293346932294835","0.09293346932294835","0.0950328319367301","0.0950328319367301","0.0950328319367301","0.09328708868001709","0.09328708868001709","0.09328708868001709"
"12","0.09256968283712529","0.09256968283712529","0.09256968283712529","0.0946736437224887","0.0946736437224887","0.0946736437224887","0.0930189235324618","0.0930189235324618","0.0930189235324618"
"13","0.09223644044127087","0.09223644044127087","0.09223644044127087","0.09434339365198774","0.09434339365198774","0.09434339365198774","0.09277916089922186","0.09277916089922186","0.09277916089922186"
"14","0.0919302003778803","0.0919302003778803","0.0919302003778803","0.09404025946351553","0.09404025946351553","0.09404025946351553","0.0925646685777836","0.0925646685777836","0.0925646685777836"
"15","0.09164850228739478","0.09164850228739478","0.09164850228739478","0.09376210770106141","0.09376210770106141","0.09376210770106141","0.09237254213720757","0.09237254213720757","0.09237254213720757"
"16","0.09138903428500995","0.09138903428500995","0.09138903428500995","0.09350679277932332","0.09350679277932332","0.09350679277932332","0.092200145667351","0.092200145667351","0.092200145667351"
"17","0.09114965637939437","0.09114965637939437","0.09114965637939437","0.093272229912133","0.093272229912133","0.093272229912133","0.09204539496147282","0.09204539496147282","0.09204539496147282"
"18","0.09092851270667815","0.09092851270667815","0.09092851270667815","0.09305642525832451","0.09305642525832451","0.09305642525832451","0.09190637719783626","0.09190637719783626","0.09190637719783626"
"19","0.0907240122785488","0.0907240122785488","0.0907240122785488","0.0928575979708191","0.0928575979708191","0.0928575979708191","0.0917810098535498","0.0917810098535498","0.0917810098535498"
"20","0.09053475297853784","0.09053475297853784","0.09053475297853784","0.0926741960047949","0.0926741960047949","0.0926741960047949","0.09166759260406925","0.09166759260406925","0.09166759260406925"
"21","0.09035947725641838","0.09035947725641838","0.09035947725641838","0.09250488508022468","0.09250488508022468","0.09250488508022468","0.09156478637058123","0.09156478637058123","0.09156478637058123"
"22","0.09019705784291639","0.09019705784291639","0.09019705784291639","0.09234844552698987","0.09234844552698987","0.09234844552698987","0.0914714215102112","0.0914714215102112","0.0914714215102112"
"23","0.0900464374052839","0.0900464374052839","0.0900464374052839","0.09220379151693413","0.09220379151693413","0.09220379151693413","0.09138643012634191","0.09138643012634191","0.09138643012634191"
"24","0.08990663899067437","0.08990663899067437","0.08990663899067437","0.09206989201590092","0.09206989201590092","0.09206989201590092","0.09130887929779692","0.09130887929779692","0.09130887929779692"
"25","0.08977674268540939","0.08977674268540939","0.08977674268540939","0.09194576444159082","0.09194576444159082","0.09194576444159082","0.09123784556417042","0.09123784556417042","0.09123784556417042"
"26","0.08965586677481056","0.08965586677481056","0.08965586677481056","0.09183046330163794","0.09183046330163794","0.09183046330163794","0.09117264473549307","0.09117264473549307","0.09117264473549307"
"27","0.08954322670645339","0.08954322670645339","0.08954322670645339","0.09172319078905916","0.09172319078905916","0.09172319078905916","0.09111259579230477","0.09111259579230477","0.09111259579230477"
"28","0.08943817188753755","0.08943817188753755","0.08943817188753755","0.09162320735677446","0.09162320735677446","0.09162320735677446","0.09105712158993742","0.09105712158993742","0.09105712158993742"
"29","0.08934008857770136","0.08934008857770136","0.08934008857770136","0.09152987471941115","0.09152987471941115","0.09152987471941115","0.09100571286954724","0.09100571286954724","0.09100571286954724"
"30","0.08924840081132976","0.08924840081132976","0.08924840081132976","0.09144257529609987","0.09144257529609987","0.09144257529609987","0.09095791196698354","0.09095791196698354","0.09095791196698354"
