"Step","afl_3_schedule_all - lambdas.2","afl_3_schedule_all - lambdas.2__MIN","afl_3_schedule_all - lambdas.2__MAX","afl_2_schedule_all - lambdas.2","afl_2_schedule_all - lambdas.2__MIN","afl_2_schedule_all - lambdas.2__MAX","afl_1_schedule_all - lambdas.2","afl_1_schedule_all - lambdas.2__MIN","afl_1_schedule_all - lambdas.2__MAX"
"1","0.10066755217464912","0.10066755217464912","0.10066755217464912","0.10011559086464632","0.10011559086464632","0.10011559086464632","0.10060556763693056","0.10060556763693056","0.10060556763693056"
"2","0.10131240477643338","0.10131240477643338","0.10131240477643338","0.10028838339305869","0.10028838339305869","0.10028838339305869","0.10102438497114546","0.10102438497114546","0.10102438497114546"
"3","0.10193685967707877","0.10193685967707877","0.10193685967707877","0.10049281085244516","0.10049281085244516","0.10049281085244516","0.10112754390048155","0.10112754390048155","0.10112754390048155"
"4","0.10242313708869706","0.10242313708869706","0.10242313708869706","0.10065671218745138","0.10065671218745138","0.10065671218745138","0.10091730887204864","0.10091730887204864","0.10091730887204864"
"5","0.10264401996467763","0.10264401996467763","0.10264401996467763","0.10068016269838545","0.10068016269838545","0.10068016269838545","0.10050912508972026","0.10050912508972026","0.10050912508972026"
"6","0.1025962445040407","0.1025962445040407","0.1025962445040407","0.10051766603334082","0.10051766603334082","0.10051766603334082","0.10000960365528624","0.10000960365528624","0.10000960365528624"
"7","0.10235652978050312","0.10235652978050312","0.10235652978050312","0.10020289694785034","0.10020289694785034","0.10020289694785034","0.09948031553587071","0.09948031553587071","0.09948031553587071"
"8","0.1020052567615254","0.1020052567615254","0.1020052567615254","0.09979495388887856","0.09979495388887856","0.09979495388887856","0.0989534201072768","0.0989534201072768","0.0989534201072768"
"9","0.10159847969932831","0.10159847969932831","0.10159847969932831","0.0993415218547822","0.0993415218547822","0.0993415218547822","0.0984451174855572","0.0984451174855572","0.0984451174855572"
"10","0.1011694086816144","0.1011694086816144","0.1011694086816144","0.09887193423131728","0.09887193423131728","0.09887193423131728","0.09796267959538948","0.09796267959538948","0.09796267959538948"
"11","0.10073674251387013","0.10073674251387013","0.10073674251387013","0.09840462610662874","0.09840462610662874","0.09840462610662874","0.09750857803080529","0.09750857803080529","0.09750857803080529"
"12","0.10031067322156309","0.10031067322156309","0.10031067322156309","0.09795096892161198","0.09795096892161198","0.09795096892161198","0.09708333629731966","0.09708333629731966","0.09708333629731966"
"13","0.099897489198766","0.099897489198766","0.099897489198766","0.0975165522690527","0.0975165522690527","0.0975165522690527","0.09668634634966586","0.09668634634966586","0.09668634634966586"
