"Step","afl_3_schedule_all - lambdas.5","afl_3_schedule_all - lambdas.5__MIN","afl_3_schedule_all - lambdas.5__MAX","afl_2_schedule_all - lambdas.5","afl_2_schedule_all - lambdas.5__MIN","afl_2_schedule_all - lambdas.5__MAX","afl_1_schedule_all - lambdas.5","afl_1_schedule_all - lambdas.5__MIN","afl_1_schedule_all - lambdas.5__MAX"
"1","0.09966452277876936","0.09966452277876936","0.09966452277876936","0.10014548655375262","0.10014548655375262","0.10014548655375262","0.09896818225804774","0.09896818225804774","0.09896818225804774"
"2","0.09946524300207613","0.09946524300207613","0.09946524300207613","0.10023370086179047","0.10023370086179047","0.10023370086179047","0.09819500570191048","0.09819500570191048","0.09819500570191048"
"3","0.09930808424287295","0.09930808424287295","0.09930808424287295","0.10024356745554015","0.10024356745554015","0.10024356745554015","0.09756706821564048","0.09756706821564048","0.09756706821564048"
"4","0.09913182251945084","0.09913182251945084","0.09913182251945084","0.10013341842010513","0.10013341842010513","0.10013341842010513","0.09706723543385777","0.09706723543385777","0.09706723543385777"
"5","0.09892398732758122","0.09892398732758122","0.09892398732758122","0.09991765411706849","0.09991765411706849","0.09991765411706849","0.09666873214445809","0.09666873214445809","0.09666873214445809"
"6","0.09870743977817735","0.09870743977817735","0.09870743977817735","0.09965046421385251","0.09965046421385251","0.09965046421385251","0.09634198276111508","0.09634198276111508","0.09634198276111508"
"7","0.09849424586549915","0.09849424586549915","0.09849424586549915","0.0993714783171049","0.0993714783171049","0.0993714783171049","0.0960668272866543","0.0960668272866543","0.0960668272866543"
"8","0.09829039621674275","0.09829039621674275","0.09829039621674275","0.09910066628751048","0.09910066628751048","0.09910066628751048","0.09583080783018197","0.09583080783018197","0.09583080783018197"
"9","0.0980988517388584","0.0980988517388584","0.0980988517388584","0.09884562790867396","0.09884562790867396","0.09884562790867396","0.09562664069631985","0.09562664069631985","0.09562664069631985"
"10","0.09792093929390534","0.09792093929390534","0.09792093929390534","0.09860873726989657","0.09860873726989657","0.09860873726989657","0.09545002290610045","0.09545002290610045","0.09545002290610045"
"11","0.09775771522467244","0.09775771522467244","0.09775771522467244","0.09839064012071702","0.09839064012071702","0.09839064012071702","0.09529750319503315","0.09529750319503315","0.09529750319503315"
"12","0.0976100557887071","0.0976100557887071","0.0976100557887071","0.09819140213319218","0.09819140213319218","0.09819140213319218","0.09516618878786161","0.09516618878786161","0.09516618878786161"
"13","0.09747817286626947","0.09747817286626947","0.09747817286626947","0.09801081035462891","0.09801081035462891","0.09801081035462891","0.09505351204442478","0.09505351204442478","0.09505351204442478"
"14","0.09736195979433211","0.09736195979433211","0.09736195979433211","0.0978482154895842","0.0978482154895842","0.0978482154895842","0.09495744519324854","0.09495744519324854","0.09495744519324854"
"15","0.09726068834775738","0.09726068834775738","0.09726068834775738","0.09770262670435112","0.09770262670435112","0.09770262670435112","0.09487620116834061","0.09487620116834061","0.09487620116834061"
"16","0.09717368656982872","0.09717368656982872","0.09717368656982872","0.09757273090816918","0.09757273090816918","0.09757273090816918","0.09480821575749375","0.09480821575749375","0.09480821575749375"
"17","0.09710009121733054","0.09710009121733054","0.09710009121733054","0.09745728917855709","0.09745728917855709","0.09745728917855709","0.09475226688870707","0.09475226688870707","0.09475226688870707"
"18","0.0970389574887614","0.0970389574887614","0.0970389574887614","0.09735518181821648","0.09735518181821648","0.09735518181821648","0.09470703138102532","0.09470703138102532","0.09470703138102532"
"19","0.09698926326870348","0.09698926326870348","0.09698926326870348","0.09726529301194496","0.09726529301194496","0.09726529301194496","0.09467120672996726","0.09467120672996726","0.09467120672996726"
"20","0.09694999488934428","0.09694999488934428","0.09694999488934428","0.09718652938651719","0.09718652938651719","0.09718652938651719","0.09464369544234753","0.09464369544234753","0.09464369544234753"
"21","0.09692021275408512","0.09692021275408512","0.09692021275408512","0.09711796064963629","0.09711796064963629","0.09711796064963629","0.09462357790675145","0.09462357790675145","0.09462357790675145"
"22","0.0968990048334537","0.0968990048334537","0.0968990048334537","0.09705857539792477","0.09705857539792477","0.09705857539792477","0.0946100055659788","0.0946100055659788","0.0946100055659788"
"23","0.09688549507694615","0.09688549507694615","0.09688549507694615","0.0970073110644823","0.0970073110644823","0.0970073110644823","0.09460223712198333","0.09460223712198333","0.09460223712198333"
"24","0.09687885449535104","0.09687885449535104","0.09687885449535104","0.09696327713103922","0.09696327713103922","0.09696327713103922","0.09459953346172364","0.09459953346172364","0.09459953346172364"
"25","0.09687832961648545","0.09687832961648545","0.09687832961648545","0.09692574672528143","0.09692574672528143","0.09692574672528143","0.09460121432332494","0.09460121432332494","0.09460121432332494"
"26","0.09688322420613923","0.09688322420613923","0.09688322420613923","0.09689399571889881","0.09689399571889881","0.09689399571889881","0.09460659301407061","0.09460659301407061","0.09460659301407061"
"27","0.09689285611476112","0.09689285611476112","0.09689285611476112","0.09686740613628327","0.09686740613628327","0.09686740613628327","0.09461501165453803","0.09461501165453803","0.09461501165453803"
"28","0.09690662996514043","0.09690662996514043","0.09690662996514043","0.09684538723923095","0.09684538723923095","0.09684538723923095","0.09462590489721004","0.09462590489721004","0.09462590489721004"
"29","0.09692399076669486","0.09692399076669486","0.09692399076669486","0.09682740573624961","0.09682740573624961","0.09682740573624961","0.09463883029765452","0.09463883029765452","0.09463883029765452"
"30","0.09694440445262369","0.09694440445262369","0.09694440445262369","0.09681299881570309","0.09681299881570309","0.09681299881570309","0.0946533598328751","0.0946533598328751","0.0946533598328751"
"31","0.0969674048196601","0.0969674048196601","0.0969674048196601","0.09680171708076615","0.09680171708076615","0.09680171708076615","0.0946691832279251","0.0946691832279251","0.0946691832279251"
"32","0.09699255416399917","0.09699255416399917","0.09699255416399917","0.09679316844550179","0.09679316844550179","0.09679316844550179","0.09468603758992518","0.09468603758992518","0.09468603758992518"
"33","0.09701947218966503","0.09701947218966503","0.09701947218966503","0.09678698480684012","0.09678698480684012","0.09678698480684012","0.09470373290820511","0.09470373290820511","0.09470373290820511"
"34","0.09704779850645133","0.09704779850645133","0.09704779850645133","0.09678283010058723","0.09678283010058723","0.09678283010058723","0.09472201637679188","0.09472201637679188","0.09472201637679188"
"35","0.09707723682458969","0.09707723682458969","0.09707723682458969","0.09678038928465466","0.09678038928465466","0.09678038928465466","0.09474069014641848","0.09474069014641848","0.09474069014641848"
"36","0.09710750433949472","0.09710750433949472","0.09710750433949472","0.09677938149369851","0.09677938149369851","0.09677938149369851","0.09475960367880802","0.09475960367880802","0.09475960367880802"
"37","0.09713836119991978","0.09713836119991978","0.09713836119991978","0.09677956113509072","0.09677956113509072","0.09677956113509072","0.09477860622626898","0.09477860622626898","0.09477860622626898"
"38","0.09716956965701813","0.09716956965701813","0.09716956965701813","0.09678072878000302","0.09678072878000302","0.09678072878000302","0.09479757313586099","0.09479757313586099","0.09479757313586099"
